stage,T_K,x_alcohol,x_ester,x_DMF,y_alcohol,y_ester,y_DMF
130,411.05384140395427,0.08334853464384559,0.06441654588643578,0.8522349194697186,0.221683205034206,0.19917931233891142,0.5791374826268825
131,411.0869512791189,0.08473332647999822,0.06279892621024095,0.8524677473097608,0.22561548315878405,0.19459677379653462,0.5797877430446813
132,411.11894227981486,0.0860484274071289,0.061259662201582334,0.8526919103912888,0.22936228880380838,0.19022001017306903,0.5804177010231226
133,411.14967841252246,0.08729344503858961,0.05980023424165724,0.8529063207197531,0.23292053304593519,0.18605525202926956,0.5810242149247953
134,411.17903575382485,0.08846871205272294,0.05842135029619573,0.8531099376510813,0.23628915421188365,0.18210650480514706,0.5816043409829693
135,411.206899610974,0.08957525776653608,0.0571230145434597,0.8533017276900042,0.23946905242329855,0.17837568403048307,0.5821552635462183
136,411.2331600909702,0.0906147810503706,0.055904611809179584,0.8534806071404498,0.24246301268415663,0.1748628010103205,0.5826741863055229
137,411.25770581645475,0.09158963097609797,0.054765005230915195,0.8536453637929868,0.24527563159650756,0.17156619127901931,0.583158177124473
138,411.28041541402575,0.09250280255571434,0.05370264519055162,0.853794552253734,0.24791326500064986,0.16848277884891255,0.5836039561504376
139,411.3011462348271,0.0933579562009345,0.052715688507296965,0.8539263552917685,0.25038401644514,0.16560837094694963,0.5840076126079103
140,411.31971953228,0.09415947133088891,0.05180212818166404,0.8540384004874471,0.25269778983824065,0.16293798051297584,0.5843642296487835
141,411.3359009941577,0.0949125471595946,0.050959935662732304,0.8541275171776731,0.25486643449326524,0.16046617724561973,0.5846673882611149
142,411.34937507078206,0.09562336750133778,0.050187219769374514,0.8541894127292877,0.2569040178273755,0.15818747253219448,0.58490850964043
143,411.35971090436954,0.09629935200759293,0.049482409208619176,0.8542182387837879,0.2588272712724533,0.15609674943892066,0.585075979288626
144,411.366316763352,0.09694952444540528,0.04884446941195642,0.8542060061426383,0.26065627004216585,0.15418975654747255,0.5851539734103617
145,411.3683785876844,0.09758504077571649,0.048273169681822284,0.8541417895424612,0.26241542957599895,0.1524636946449736,0.5851208757790275
146,411.3647763419299,0.09821993804834916,0.04776942430237453,0.8540106376492763,0.2641349343510286,0.1509179395372941,0.5849471261116772
147,411.3539689933251,0.09887219311381824,0.04733574286475538,0.8537920640214264,0.26585276415318054,0.14955496498615642,0.5845922708606629
148,411.33383446484976,0.09956522411767861,0.04697684330979116,0.8534579325725302,0.267617558614201,0.1483815611458723,0.5840008802399268
149,411.3014437641141,0.10033003887303804,0.04670051104654338,0.8529694500804186,0.26949267977709523,0.14741049326161837,0.5830968269612865
150,411.25273665218714,0.10120835317048589,0.04651883825843753,0.8522728085710766,0.2715620249079007,0.14666282617061135,0.5817751489214881
151,411.18204588397333,0.10225720850471262,0.04645006730539783,0.8512927241898895,0.2739384636491501,0.146171277469759,0.5798902588810909
152,411.08138069744376,0.10355599169953708,0.04652142796029871,0.8499225803401642,0.27677633211738367,0.1459852051747199,0.5772384627078965
153,410.939312285878,0.10521746412855021,0.04677367935736439,0.8480088565140854,0.2802904257727651,0.14617828437806749,0.5735312898491673
154,410.739170492806,0.10740581211092809,0.04726872419513945,0.8453254636939325,0.28478584097735243,0.1468607963150384,0.5683533627076092
155,410.4559829790992,0.1103676989394375,0.048103094454286996,0.8415292066062755,0.2907068136170626,0.14820022997161775,0.5610929564113197
156,410.0509675218088,0.11448905301110987,0.049433482046431984,0.8360774649424582,0.2987207359986232,0.15045777014155118,0.5508214938598255
157,409.4608786805193,0.12040715555657437,0.05152925031932294,0.8280635941241027,0.30987180744349424,0.1540573752304273,0.5360708173260784
158,408.5754154437521,0.1292547602777462,0.0548926518092606,0.8158525879129932,0.32588430798498813,0.15972785666374179,0.5143878353512701
159,408.6239809420402,0.13236902293623526,0.05147370406540868,0.816157272998356,0.3344590303216082,0.15038242674220856,0.5151585429361832
160,408.6754940323453,0.13544950121972227,0.04806125041731795,0.8164892483629598,0.3430142915318327,0.1409901582601925,0.5159955502079748
161,408.73018021454186,0.13846711316842059,0.04467870274169499,0.8168541840898844,0.3514767429226707,0.13161572985506406,0.5169075272222652
