ternary_system_id,component_id_1,component_id_2,component_id_3,available_binary_subsystems,coverage_category,binary_subsystem_1,binary_subsystem_1_available,binary_subsystem_2,binary_subsystem_2_available,binary_subsystem_3,binary_subsystem_3_available
smiles:CCCCOC(C)(C)C || smiles:CO || smiles:O,smiles:CCCCOC(C)(C)C,smiles:CO,smiles:O,2,2/3,smiles:CCCCOC(C)(C)C || smiles:CO,True,smiles:CCCCOC(C)(C)C || smiles:O,False,smiles:CO || smiles:O,True
smiles:CCCO || smiles:CCCOC(C)=O || smiles:O,smiles:CCCO,smiles:CCCOC(C)=O,smiles:O,2,2/3,smiles:CCCO || smiles:CCCOC(C)=O,True,smiles:CCCO || smiles:O,True,smiles:CCCOC(C)=O || smiles:O,False
smiles:CCCO || smiles:O=C=O || smiles:c1ccsc1,smiles:CCCO,smiles:O=C=O,smiles:c1ccsc1,2,2/3,smiles:CCCO || smiles:O=C=O,True,smiles:CCCO || smiles:c1ccsc1,False,smiles:O=C=O || smiles:c1ccsc1,True
smiles:CCO || smiles:CCOC(C)(C)CC || smiles:O,smiles:CCO,smiles:CCOC(C)(C)CC,smiles:O,2,2/3,smiles:CCO || smiles:CCOC(C)(C)CC,True,smiles:CCO || smiles:O,True,smiles:CCOC(C)(C)CC || smiles:O,False
smiles:CCOC(C)(C)CC || smiles:CO || smiles:O,smiles:CCOC(C)(C)CC,smiles:CO,smiles:O,2,2/3,smiles:CCOC(C)(C)CC || smiles:CO,True,smiles:CCOC(C)(C)CC || smiles:O,False,smiles:CO || smiles:O,True
smiles:CCOCCO || smiles:CO || smiles:COC(=O)OC,smiles:CCOCCO,smiles:CO,smiles:COC(=O)OC,2,2/3,smiles:CCOCCO || smiles:CO,True,smiles:CCOCCO || smiles:COC(=O)OC,False,smiles:CO || smiles:COC(=O)OC,True
smiles:O=C=O || smiles:O=O || smiles:[Ar],smiles:O=C=O,smiles:O=O,smiles:[Ar],2,2/3,smiles:O=C=O || smiles:O=O,True,smiles:O=C=O || smiles:[Ar],True,smiles:O=O || smiles:[Ar],False
fallback:09c8c05801be25b4 || smiles:CC(C)=O || smiles:CO,fallback:09c8c05801be25b4,smiles:CC(C)=O,smiles:CO,1,1/3,fallback:09c8c05801be25b4 || smiles:CC(C)=O,False,fallback:09c8c05801be25b4 || smiles:CO,False,smiles:CC(C)=O || smiles:CO,True
fallback:0a3ea5943f1d539f || smiles:CCO || smiles:O,fallback:0a3ea5943f1d539f,smiles:CCO,smiles:O,1,1/3,fallback:0a3ea5943f1d539f || smiles:CCO,False,fallback:0a3ea5943f1d539f || smiles:O,False,smiles:CCO || smiles:O,True
fallback:18b39535a92cfa87 || smiles:CC(=O)O || smiles:O,fallback:18b39535a92cfa87,smiles:CC(=O)O,smiles:O,1,1/3,fallback:18b39535a92cfa87 || smiles:CC(=O)O,False,fallback:18b39535a92cfa87 || smiles:O,False,smiles:CC(=O)O || smiles:O,True
fallback:234c6d4b0f0098c9 || smiles:CCC(C)=O || smiles:CCO,fallback:234c6d4b0f0098c9,smiles:CCC(C)=O,smiles:CCO,1,1/3,fallback:234c6d4b0f0098c9 || smiles:CCC(C)=O,False,fallback:234c6d4b0f0098c9 || smiles:CCO,False,smiles:CCC(C)=O || smiles:CCO,True
fallback:2ae13e16f8903d30 || smiles:CC(C)=O || smiles:CO,fallback:2ae13e16f8903d30,smiles:CC(C)=O,smiles:CO,1,1/3,fallback:2ae13e16f8903d30 || smiles:CC(C)=O,False,fallback:2ae13e16f8903d30 || smiles:CO,False,smiles:CC(C)=O || smiles:CO,True
fallback:357f5f5bd0d80acf || smiles:C=CC(=C)CCC=C(C)C || smiles:O=C=O,fallback:357f5f5bd0d80acf,smiles:C=CC(=C)CCC=C(C)C,smiles:O=C=O,1,1/3,fallback:357f5f5bd0d80acf || smiles:C=CC(=C)CCC=C(C)C,False,fallback:357f5f5bd0d80acf || smiles:O=C=O,False,smiles:C=CC(=C)CCC=C(C)C || smiles:O=C=O,True
fallback:4501d0d6bfddcc6a || fallback:60985056a62a6059 || smiles:CC(C)O,fallback:4501d0d6bfddcc6a,fallback:60985056a62a6059,smiles:CC(C)O,1,1/3,fallback:4501d0d6bfddcc6a || fallback:60985056a62a6059,False,fallback:4501d0d6bfddcc6a || smiles:CC(C)O,True,fallback:60985056a62a6059 || smiles:CC(C)O,False
fallback:4501d0d6bfddcc6a || fallback:7645054b0e40e378 || smiles:CC(C)O,fallback:4501d0d6bfddcc6a,fallback:7645054b0e40e378,smiles:CC(C)O,1,1/3,fallback:4501d0d6bfddcc6a || fallback:7645054b0e40e378,False,fallback:4501d0d6bfddcc6a || smiles:CC(C)O,True,fallback:7645054b0e40e378 || smiles:CC(C)O,False
fallback:4501d0d6bfddcc6a || fallback:89339a0c54f732bb || smiles:CC(C)O,fallback:4501d0d6bfddcc6a,fallback:89339a0c54f732bb,smiles:CC(C)O,1,1/3,fallback:4501d0d6bfddcc6a || fallback:89339a0c54f732bb,False,fallback:4501d0d6bfddcc6a || smiles:CC(C)O,True,fallback:89339a0c54f732bb || smiles:CC(C)O,False
fallback:55966609dcc48188 || smiles:CC#N || smiles:CC(C)O,fallback:55966609dcc48188,smiles:CC#N,smiles:CC(C)O,1,1/3,fallback:55966609dcc48188 || smiles:CC#N,False,fallback:55966609dcc48188 || smiles:CC(C)O,False,smiles:CC#N || smiles:CC(C)O,True
fallback:55966609dcc48188 || smiles:CC#N || smiles:CO,fallback:55966609dcc48188,smiles:CC#N,smiles:CO,1,1/3,fallback:55966609dcc48188 || smiles:CC#N,False,fallback:55966609dcc48188 || smiles:CO,False,smiles:CC#N || smiles:CO,True
fallback:5b8ad43214fe2db4 || smiles:CC#N || smiles:CO,fallback:5b8ad43214fe2db4,smiles:CC#N,smiles:CO,1,1/3,fallback:5b8ad43214fe2db4 || smiles:CC#N,False,fallback:5b8ad43214fe2db4 || smiles:CO,False,smiles:CC#N || smiles:CO,True
fallback:5b8ad43214fe2db4 || smiles:CC(C)O || smiles:CCOC(C)=O,fallback:5b8ad43214fe2db4,smiles:CC(C)O,smiles:CCOC(C)=O,1,1/3,fallback:5b8ad43214fe2db4 || smiles:CC(C)O,False,fallback:5b8ad43214fe2db4 || smiles:CCOC(C)=O,False,smiles:CC(C)O || smiles:CCOC(C)=O,True
fallback:60985056a62a6059 || smiles:CO || smiles:c1ccccc1,fallback:60985056a62a6059,smiles:CO,smiles:c1ccccc1,1,1/3,fallback:60985056a62a6059 || smiles:CO,False,fallback:60985056a62a6059 || smiles:c1ccccc1,False,smiles:CO || smiles:c1ccccc1,True
fallback:6c50d69f00cb369a || smiles:CC#N || smiles:CC(C)O,fallback:6c50d69f00cb369a,smiles:CC#N,smiles:CC(C)O,1,1/3,fallback:6c50d69f00cb369a || smiles:CC#N,False,fallback:6c50d69f00cb369a || smiles:CC(C)O,False,smiles:CC#N || smiles:CC(C)O,True
fallback:6c50d69f00cb369a || smiles:CC(C)O || smiles:CCOC(C)=O,fallback:6c50d69f00cb369a,smiles:CC(C)O,smiles:CCOC(C)=O,1,1/3,fallback:6c50d69f00cb369a || smiles:CC(C)O,False,fallback:6c50d69f00cb369a || smiles:CCOC(C)=O,False,smiles:CC(C)O || smiles:CCOC(C)=O,True
fallback:7645054b0e40e378 || smiles:CO || smiles:c1ccccc1,fallback:7645054b0e40e378,smiles:CO,smiles:c1ccccc1,1,1/3,fallback:7645054b0e40e378 || smiles:CO,False,fallback:7645054b0e40e378 || smiles:c1ccccc1,False,smiles:CO || smiles:c1ccccc1,True
fallback:798af18edd056b45 || smiles:CC#N || smiles:CCOC(C)=O,fallback:798af18edd056b45,smiles:CC#N,smiles:CCOC(C)=O,1,1/3,fallback:798af18edd056b45 || smiles:CC#N,False,fallback:798af18edd056b45 || smiles:CCOC(C)=O,False,smiles:CC#N || smiles:CCOC(C)=O,True
fallback:798af18edd056b45 || smiles:CCO || smiles:COC(=O)OC,fallback:798af18edd056b45,smiles:CCO,smiles:COC(=O)OC,1,1/3,fallback:798af18edd056b45 || smiles:CCO,False,fallback:798af18edd056b45 || smiles:COC(=O)OC,False,smiles:CCO || smiles:COC(=O)OC,True
fallback:798af18edd056b45 || smiles:CO || smiles:COC(=O)OC,fallback:798af18edd056b45,smiles:CO,smiles:COC(=O)OC,1,1/3,fallback:798af18edd056b45 || smiles:CO,False,fallback:798af18edd056b45 || smiles:COC(=O)OC,False,smiles:CO || smiles:COC(=O)OC,True
fallback:7c0d97d046e0044e || smiles:CC(C)O || smiles:O,fallback:7c0d97d046e0044e,smiles:CC(C)O,smiles:O,1,1/3,fallback:7c0d97d046e0044e || smiles:CC(C)O,False,fallback:7c0d97d046e0044e || smiles:O,False,smiles:CC(C)O || smiles:O,True
fallback:89339a0c54f732bb || smiles:CO || smiles:c1ccccc1,fallback:89339a0c54f732bb,smiles:CO,smiles:c1ccccc1,1,1/3,fallback:89339a0c54f732bb || smiles:CO,False,fallback:89339a0c54f732bb || smiles:c1ccccc1,False,smiles:CO || smiles:c1ccccc1,True
fallback:95e7f54193c00c2e || smiles:CC(C)=O || smiles:CO,fallback:95e7f54193c00c2e,smiles:CC(C)=O,smiles:CO,1,1/3,fallback:95e7f54193c00c2e || smiles:CC(C)=O,False,fallback:95e7f54193c00c2e || smiles:CO,False,smiles:CC(C)=O || smiles:CO,True
fallback:9b63a65c238214cc || smiles:CC(C)=O || smiles:CO,fallback:9b63a65c238214cc,smiles:CC(C)=O,smiles:CO,1,1/3,fallback:9b63a65c238214cc || smiles:CC(C)=O,False,fallback:9b63a65c238214cc || smiles:CO,False,smiles:CC(C)=O || smiles:CO,True
fallback:9b63a65c238214cc || smiles:CC(C)O || smiles:O,fallback:9b63a65c238214cc,smiles:CC(C)O,smiles:O,1,1/3,fallback:9b63a65c238214cc || smiles:CC(C)O,False,fallback:9b63a65c238214cc || smiles:O,False,smiles:CC(C)O || smiles:O,True
fallback:9d9dd3751b800f25 || smiles:CC#N || smiles:CCO,fallback:9d9dd3751b800f25,smiles:CC#N,smiles:CCO,1,1/3,fallback:9d9dd3751b800f25 || smiles:CC#N,False,fallback:9d9dd3751b800f25 || smiles:CCO,False,smiles:CC#N || smiles:CCO,True
fallback:9d9dd3751b800f25 || smiles:CCC(C)=O || smiles:CCO,fallback:9d9dd3751b800f25,smiles:CCC(C)=O,smiles:CCO,1,1/3,fallback:9d9dd3751b800f25 || smiles:CCC(C)=O,False,fallback:9d9dd3751b800f25 || smiles:CCO,False,smiles:CCC(C)=O || smiles:CCO,True
fallback:9e7a748462a11dd6 || smiles:CC1=CCC2CC1C2(C)C || smiles:Cc1ccc(C(C)C)cc1,fallback:9e7a748462a11dd6,smiles:CC1=CCC2CC1C2(C)C,smiles:Cc1ccc(C(C)C)cc1,1,1/3,fallback:9e7a748462a11dd6 || smiles:CC1=CCC2CC1C2(C)C,False,fallback:9e7a748462a11dd6 || smiles:Cc1ccc(C(C)C)cc1,False,smiles:CC1=CCC2CC1C2(C)C || smiles:Cc1ccc(C(C)C)cc1,True
fallback:ab7dbdbf034d3efb || smiles:CC#N || smiles:CO,fallback:ab7dbdbf034d3efb,smiles:CC#N,smiles:CO,1,1/3,fallback:ab7dbdbf034d3efb || smiles:CC#N,False,fallback:ab7dbdbf034d3efb || smiles:CO,False,smiles:CC#N || smiles:CO,True
