dataset,rank,system_id,system_label,data_points
Binary,188,smiles:C1CCCCC1 || smiles:OC1CCCCC1,环己烷 / 环己醇,40
Binary,189,smiles:C1CC1 || smiles:FC(F)C(F)(F)F,环丙烷 / 五氟乙烷,40
Binary,190,smiles:CCCCC || smiles:COC=O,戊烷 / 甲酸甲酯,39
Binary,191,smiles:CCCCCl || smiles:O=C1CCCCC1,1-氯丁烷 / 环己酮,39
Binary,192,smiles:CCCCCl || smiles:CCCCOCC,1-氯丁烷 / 乙基丁基醚,39
Binary,193,smiles:CCCCCCl || smiles:CC[N+](=O)[O-],1-氯戊烷 / 硝基乙烷,39
Binary,194,smiles:CCCCCCCC(=O)OC || smiles:CCCCCCCCCC(=O)OC,辛酸甲酯 / 癸酸甲酯,39
Binary,195,smiles:Cl[SiH](Cl)Cl || smiles:Cl[Si](Cl)(Cl)Cl,三氯氢硅 / 四氯化硅,39
Binary,196,smiles:CC(C)CC(C)(C)C || smiles:CC(C)CO,异辛烷 / 2-甲基-1-丙醇,39
Binary,197,smiles:C=CCCCC || smiles:FC(F)(F)C(F)(F)F,1-己烯 / 六氟乙烷,39
Binary,198,smiles:C1CCOCC1 || smiles:CCCCCCl,四氢吡喃 / 1-氯戊烷,39
Binary,199,smiles:CCCCCCCCCC(=O)OC || smiles:CCCCCCCCCCCC(=O)OC,癸酸甲酯 / 十二酸甲酯,39
Binary,200,smiles:CC(=O)C(C)C || smiles:CC(C)OC(C)C,3-甲基-2-丁酮 / 二异丙醚,39
Binary,201,smiles:CC(C)=C(C)C || smiles:c1ccsc1,"2,3-二甲基-2-丁烯 / 噻吩",39
Binary,202,smiles:C1CC1 || smiles:FCC(F)(F)F,"环丙烷 / 1,1,1,2-四氟乙烷",38
Binary,203,smiles:C=CC(C)(O)CCC=C(C)C || smiles:CCO,芳樟醇 / 乙醇,38
Binary,204,smiles:C=CCC || smiles:FC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1-丁烯 / 全氟丁烷,38
Binary,205,smiles:CC(=O)C(C)C || smiles:CC(C)O,3-甲基-2-丁酮 / 2-丙醇,38
Binary,206,smiles:CC(C)C || smiles:CCO,2-甲基丙烷 / 乙醇,38
Binary,207,smiles:CC(C)C(=O)C(C)C || smiles:CC(C)O,"2,4-二甲基-3-戊酮 / 2-丙醇",38
Binary,208,smiles:CCC(C)CC || smiles:FC(F)F,3-甲基戊烷 / 三氟甲烷,38
Binary,209,smiles:CCCCCCC || smiles:CCCOCCO,正庚烷 / 2-丙氧基乙醇,38
Binary,210,smiles:CCCCCCCCC || smiles:O=C=O,正壬烷 / 二氧化碳,38
Binary,211,smiles:CCCCCCCCCCCCCC(=O)OC || smiles:CCCCCCCCCCCCCCCC(=O)OC,肉豆蔻酸甲酯 / 棕榈酸甲酯,38
Binary,212,smiles:CC(C)=O || smiles:CCOC(=O)OCC,丙酮 / 碳酸二乙酯,38
Binary,213,smiles:CCC || smiles:FC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,丙烷 / 全氟丁烷,37
Binary,214,smiles:O=C=O || smiles:c1ccsc1,二氧化碳 / 噻吩,37
Binary,215,smiles:CCCCCCC || smiles:FC(F)(F)C(F)(F)F,正庚烷 / 六氟乙烷,37
Binary,216,smiles:CCC(C)CC || smiles:FC(F)(F)C(F)(F)F,3-甲基戊烷 / 六氟乙烷,37
Binary,217,smiles:CC(C)CC(C)(C)C || smiles:c1ccsc1,异辛烷 / 噻吩,37
Binary,218,smiles:C=CCCCC || smiles:FC(F)F,1-己烯 / 三氟甲烷,37
Binary,219,smiles:C1CCCC1 || smiles:O=C=O,环戊烷 / 二氧化碳,37
Binary,220,smiles:O || smiles:OCCN1CCCC1,水 / 1-(2-羟乙基)吡咯烷,36
Binary,221,smiles:CCO || smiles:CCOC(=O)[C@H](C)O,乙醇 / (S)-(-)-乳酸乙酯,36
