component_count,direction,model,nonphysical_rate_mean,nonphysical_rate_std,pressure_mae_kpa_mean,pressure_mae_kpa_std,pressure_r2_mean,pressure_r2_std,pressure_rmse_kpa_mean,pressure_rmse_kpa_std,pressure_system_macro_mae_kpa_mean,pressure_system_macro_mae_kpa_std,pressure_system_macro_rmse_kpa_mean,pressure_system_macro_rmse_kpa_std,protocol,seeds,solver_failure_rate_mean,solver_failure_rate_std,system_parameter_coverage_mean,system_parameter_coverage_std,temperature_mae_k_mean,temperature_mae_k_std,temperature_r2_mean,temperature_r2_std,temperature_rmse_k_mean,temperature_rmse_k_std,temperature_system_macro_mae_k_mean,temperature_system_macro_mae_k_std,temperature_system_macro_rmse_k_mean,temperature_system_macro_rmse_k_std,valid_coverage_mean,valid_coverage_std,y_mae_mean,y_mae_std,y_r2_mean,y_r2_std,y_rmse_mean,y_rmse_std,y_system_macro_mae_mean,y_system_macro_mae_std,y_system_macro_rmse_mean,y_system_macro_rmse_std
3,isothermal,wilson,0.0,0.0,0.7383064755788338,0.0,0.9953875036142085,0.0,1.3798411335788925,0.0,0.7851078570862129,0.0,1.427014509797701,0.0,state_composition_edge_extrapolation,1,0.0,0.0,1.0,0.0,,,,,,,,,,,1.0,0.0,0.008791772986896937,0.0,0.9967454558713884,0.0,0.018031482590927045,0.0,0.009241630674695564,0.0,0.01861266911475352,0.0
,isobaric,wilson,0.0,0.0,,,,,,,,,,,state_composition_edge_extrapolation,1,0.01511879049676026,0.0,1.0,0.0,7.0508655019942825,0.0,-0.22567794168984,0.0,33.68019396487809,0.0,11.312432355152408,0.0,47.81765794494311,0.0,0.9848812095032398,0.0,0.03433099862545106,0.0,0.9582952270900895,0.0,0.08321345339541218,0.0,0.03721550499607645,0.0,0.09128107838149431,0.0
2,isobaric,wilson,0.0,0.0,,,,,,,,,,,state_composition_edge_extrapolation,1,0.01912568306010929,0.0,1.0,0.0,8.2109007041786,0.0,-0.43593085714442226,0.0,37.74669274937794,0.0,12.566408243991036,0.0,51.73093305847734,0.0,0.9808743169398907,0.0,0.023328204338142755,0.0,0.9756031302768802,0.0,0.06919980059508408,0.0,0.029177006417380132,0.0,0.08091417444130457,0.0
3,isobaric,wilson,0.0,0.0,,,,,,,,,,,state_composition_edge_extrapolation,1,0.0,0.0,1.0,0.0,2.7575393413327336,0.0,0.907699056606299,0.0,7.704793140089771,0.0,4.345899639382261,0.0,11.058955717236225,0.0,1.0,0.0,0.06147878659207431,0.0,0.8297964757065402,0.0,0.11042833552556613,0.0,0.08187383043327809,0.0,0.13509120362963384,0.0
,isothermal,uniquac,0.0,0.0,1.6045860955873963,0.0,0.9973717129786541,0.0,5.150431397092138,0.0,1.3594422972953526,0.0,4.6088956690502325,0.0,state_composition_edge_extrapolation,1,0.6893203883495146,0.0,0.4152046783625731,0.0,,,,,,,,,,,0.3106796116504854,0.0,0.00876543530897437,0.0,0.9978450594490429,0.0,0.020545612138100782,0.0,0.008303619380716627,0.0,0.021487726268048703,0.0
2,isothermal,uniquac,0.0,0.0,1.6045860955873963,0.0,0.9973717129786541,0.0,5.150431397092138,0.0,1.3594422972953526,0.0,4.6088956690502325,0.0,state_composition_edge_extrapolation,1,0.5807860262008734,0.0,0.4482758620689655,0.0,,,,,,,,,,,0.4192139737991266,0.0,0.00876543530897437,0.0,0.9978450594490429,0.0,0.020545612138100782,0.0,0.008303619380716627,0.0,0.021487726268048703,0.0
3,isothermal,uniquac,0.0,0.0,,,,,,,,,,,state_composition_edge_extrapolation,1,1.0,0.0,0.23076923076923078,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,,
,isobaric,uniquac,0.0,0.0,,,,,,,,,,,state_composition_edge_extrapolation,1,0.5140388768898488,0.0,0.4152046783625731,0.0,1.130466556002656,0.0,0.9209615674045362,0.0,7.6075590425807675,0.0,1.3583759656836625,0.0,9.10007071087861,0.0,0.48596112311015116,0.0,0.016350166389726705,0.0,0.9913805862292111,0.0,0.039323346936471125,0.0,0.016788108671287022,0.0,0.043156492786411586,0.0
2,isobaric,uniquac,0.0,0.0,,,,,,,,,,,state_composition_edge_extrapolation,1,0.48633879781420764,0.0,0.4482758620689655,0.0,1.1194895093749286,0.0,0.9146049871429611,0.0,8.27288260170283,0.0,1.3377532141309967,0.0,9.638001727848346,0.0,0.5136612021857924,0.0,0.011142260093786181,0.0,0.9965551865737724,0.0,0.026630479647142075,0.0,0.011714925774717994,0.0,0.02860639709214122,0.0
3,isobaric,uniquac,0.0,0.0,,,,,,,,,,,state_composition_edge_extrapolation,1,0.6185567010309279,0.0,0.23076923076923078,0.0,1.1862418199489475,0.0,0.9837045508043202,0.0,2.0469787368447667,0.0,1.51648372758743,0.0,2.3522104837494546,0.0,0.38144329896907214,0.0,0.033991362491291005,0.0,0.935833614622447,0.0,0.06619708319233966,0.0,0.05568251087831625,0.0,0.09933622644763652,0.0
