model,training_scope,evaluation_scope,direction,component_count,status,valid_seeds,seed_count,state_metric,state_mae_mean,state_mae_sample_std,state_rmse_mean,state_rmse_sample_std,state_r2_mean,state_r2_sample_std,y_mae_mean,y_mae_sample_std,y_rmse_mean,y_rmse_sample_std,y_r2_mean,y_r2_sample_std,coverage_mean,coverage_sample_std,solver_failure_rate_mean,solver_failure_rate_sample_std,source
TeNNet-SAC adapted,joint,joint,isobaric,2+3,evaluated,5,5,T_K,6.876355865536487,2.4359070272696193,18.79340392722521,9.258681132076097,0.47943181468977764,0.47117961561798544,0.07206040015007985,0.01706121968095899,0.14757772367368036,0.030078979241143815,0.7658291867811432,0.08335912137203999,0.9561028119115541,0.02157252452001806,0.04389718808844585,0.0215725245200181,results/benchmarks/vle/comparison/v1/machine_learning/tennet_sac_joint_adapted.on.joint_train_joint_test/aggregate.csv
TeNNet-SAC adapted,joint,joint,isothermal,2+3,evaluated,5,5,P_kPa,8.551842739733516,1.717098222470975,20.92568438135249,6.815043518224011,0.9714579520817509,0.02006089910670896,0.021068672564925013,0.003682672336116075,0.03996968437652131,0.00896062731241154,0.9841170517917245,0.008133316358637978,1.0,0.0,0.0,0.0,results/benchmarks/vle/comparison/v1/machine_learning/tennet_sac_joint_adapted.on.joint_train_joint_test/aggregate.csv
TeNNet-SAC adapted,joint,joint,isobaric,3,evaluated,5,5,T_K,8.480908325075635,7.694320914425787,11.631605744484077,6.833056900563668,-2.353484594989374,6.799974317549245,0.13373492911895166,0.12572245098414658,0.18453939979603168,0.13842488965748856,0.45188126262356754,0.6119080750816489,0.8107027194567626,0.19771480458263485,0.18929728054323733,0.19771480458263485,results/benchmarks/vle/comparison/v1/machine_learning/tennet_sac_joint_adapted.on.joint_train_joint_test/aggregate.csv
TeNNet-SAC adapted,joint,joint,isothermal,3,evaluated_partial_seeds,4,5,P_kPa,3.212306602086632,1.4865941484239966,4.856296193565335,3.049193521346794,0.9180521029626322,0.07338244051176639,0.01839171881396815,0.0019495327321532177,0.02985438049847742,0.013536325204089178,0.9850007087739827,0.014296361119130777,0.8,0.4472135954999579,0.0,0.0,results/benchmarks/vle/comparison/v1/machine_learning/tennet_sac_joint_adapted.on.joint_train_joint_test/aggregate.csv
ThermoFormer,joint,joint,isobaric,2+3,evaluated,5,5,T_K,2.2032,0.5408,3.9209,1.1295,0.9788,0.0093,0.0281,0.0052,0.0477,0.0097,0.9754,0.0086,1.0,0.0,0.0,0.0,reports/phase_equilibrium/v1/VLE_results_table.csv
ThermoFormer,joint,joint,isothermal,2+3,evaluated,5,5,P_kPa,10.1185,2.4539,26.8630,8.2319,0.9504,0.0288,0.0245,0.0028,0.0451,0.0080,0.9801,0.0094,1.0,0.0,0.0,0.0,reports/phase_equilibrium/v1/VLE_results_table.csv
ThermoFormer,joint,ternary,isobaric,3,evaluated,5,5,T_K,3.5838,4.0673,4.7654,5.1691,0.7281,0.5302,0.0465,0.0475,0.0647,0.0575,0.9067,0.1399,1.0,0.0,0.0,0.0,reports/phase_equilibrium/v1/VLE_results_table.csv
ThermoFormer,joint,ternary,isothermal,3,evaluated,5,5,P_kPa,1.6401,0.5421,2.1672,0.6266,0.9841,0.0108,0.0176,0.0098,0.0257,0.0132,0.9905,0.0056,1.0,0.0,0.0,0.0,reports/phase_equilibrium/v1/VLE_results_table.csv
HANNA adapted,ternary,ternary,isobaric,3,evaluated,5,5,T_K,11.499256288926436,9.479390878765543,20.86868467933874,16.364928314212516,-8.683903797574045,15.000911349533684,0.13785865550373422,0.12302448485338585,0.2059351621492314,0.1229397167115849,0.37590574056098,0.5655788992465365,0.831988728052902,0.18356434706164973,0.16801127194709803,0.1835643470616497,results/benchmarks/vle/comparison/v1/machine_learning/hanna_ternary_adapted.on.ternary_train_ternary_test/aggregate.csv
HANNA adapted,ternary,ternary,isothermal,3,evaluated_partial_seeds,4,5,P_kPa,9.347462101847015,10.181676056985717,29.805357246285443,50.160935321355744,-5.639358612333967,13.08857363372495,0.016571516174845834,0.012615196329247761,0.035712071981797724,0.04425032040350016,0.9604823659328628,0.07359981901267144,0.8,0.4472135954999579,0.0,0.0,results/benchmarks/vle/comparison/v1/machine_learning/hanna_ternary_adapted.on.ternary_train_ternary_test/aggregate.csv
TeNNet-SAC adapted,ternary,ternary,isobaric,3,evaluated,5,5,T_K,10.313565123108514,9.38464386572747,20.87352951002856,17.078781580455708,-14.932114201353894,31.658833894460354,0.13403277024291643,0.11856753465072872,0.19501125191928645,0.12298629633717009,0.433075038082292,0.556197279481279,0.824433964276117,0.18693207581490037,0.1755660357238828,0.18693207581490032,results/benchmarks/vle/comparison/v1/machine_learning/tennet_sac_ternary_adapted.on.ternary_train_ternary_test/aggregate.csv
TeNNet-SAC adapted,ternary,ternary,isothermal,3,evaluated_partial_seeds,4,5,P_kPa,5.344758483612173,2.816793514342011,7.428242170318891,4.680426633438063,0.8103524638444873,0.15541668314356413,0.019734302675340255,0.0033303029276714018,0.03276309057716301,0.015577417828578305,0.9822609914567586,0.017429358447850415,0.8,0.4472135954999579,0.0,0.0,results/benchmarks/vle/comparison/v1/machine_learning/tennet_sac_ternary_adapted.on.ternary_train_ternary_test/aggregate.csv
ThermoFormer,ternary,ternary,isobaric,3,evaluated,5,5,T_K,7.3148,7.2670,9.8211,9.1680,-0.0181,1.5378,0.0670,0.0461,0.0920,0.0573,0.8412,0.1614,1.0,0.0,0.0,0.0,reports/phase_equilibrium/v1/VLE_results_table.csv
ThermoFormer,ternary,ternary,isothermal,3,evaluated,5,5,P_kPa,6.5990,4.9530,8.6563,6.5786,0.7043,0.3151,0.0540,0.0441,0.0733,0.0532,0.9129,0.0826,1.0,0.0,0.0,0.0,reports/phase_equilibrium/v1/VLE_results_table.csv
