model,T,S,status,E,R,xE,xR,total_balance_error,benzene_recovery,heptane_retention,solvent_to_raffinate,E_benzene_solvent_free
ThermoFormer,298.15,2.2,valid,2.521120779283878,0.678879220716122,"[0.07274109440960702, 0.8521653736518262, 0.07509353193856667]","[0.8100767145727463, 0.07599020197694767, 0.11393308345030598]",3.3306690738754696e-16,0.7099494891005177,0.7499239755128487,0.051588169100170944,0.5079563143867909
UNIFAC-LLE,298.15,2.2,valid,2.5168553857373674,0.6831446142626327,"[0.0640260927833066, 0.8544331799328111, 0.08154072728388241]","[0.8375809527555925, 0.07248135797256547, 0.08993768927184206]",8.881784197001252e-16,0.769598319830181,0.780257613932656,0.049515249333400034,0.5601601192239124
Experiment-interpolation,303.15,0.2,valid,0.010896334969207996,1.189103665030792,"[0.0947005160977672, 0.7064865514635399, 0.19881293243869275]","[0.6158432324478724, 0.16172003462711804, 0.2224367329250095]",1.1102230246251565e-16,0.008123746155234035,0.9985928792566025,0.19230188588401265,0.6773554446313433
ThermoFormer,303.15,0.2,valid,0.06340871541125556,1.1365912845887445,"[0.11372975113952166, 0.6904815626815071, 0.19578868617897122]","[0.6388592678433822, 0.13744382278255263, 0.2236969093740651]",1.1102230246251565e-16,0.04655515905999774,0.9901661944220926,0.15621745109520924,0.6325590419594477
UNIFAC-LLE,303.15,0.2,valid,0.09785935595341408,1.102140644046586,"[0.10273553983033228, 0.686711397372863, 0.2105530627968047]","[0.6562499110063114, 0.1204917590550353, 0.22325832993865344]",1.1102230246251565e-16,0.0772672016974274,0.9862904994163784,0.13279886492722265,0.672073803614861
Experiment-interpolation,303.15,0.3,valid,0.1744507054320094,1.1255492945679904,"[0.08869152517295827, 0.7273772412703619, 0.18393123355667992]","[0.6377872898730749, 0.15379915209456832, 0.20841355803235684]",1.1102230246251565e-16,0.12032600041853447,0.9789014102741862,0.17310852714519642,0.6746730698998089
ThermoFormer,303.15,0.3,valid,0.23643552551812905,1.0635644744818709,"[0.10268470948383912, 0.7167093262129041, 0.18060596430325684]","[0.6666779843594068, 0.12274239780028773, 0.21057961784030543]",1.1102230246251565e-16,0.16013124780655885,0.9668932092052439,0.13054445381310775,0.6375288035037444
UNIFAC-LLE,303.15,0.3,valid,0.25577228426234744,1.0442277157376525,"[0.09706242367791901, 0.7079815960654804, 0.19495598025660069]","[0.6784989948410752, 0.11388122357452214, 0.20761978158440256]",2.886579864025407e-15,0.18699126150313372,0.9661465302452582,0.11891792995863215,0.6676153887215832
Experiment-interpolation,303.15,0.4,valid,0.3216624126158142,1.0783375873841858,"[0.08630615910259212, 0.7422249280348856, 0.17146891286252222]","[0.6543144690748973, 0.1495395698260574, 0.1961459610990453]",1.1102230246251565e-16,0.2068316407498867,0.9621434808719855,0.16125413894469973,0.6651881097553441
ThermoFormer,303.15,0.4,valid,0.3887640046606198,1.0112359953393801,"[0.09455462887731658, 0.7377821078088228, 0.16766326331386067]","[0.6888341597433074, 0.11191934792956587, 0.19924649232712674]",1.1102230246251565e-16,0.2444304063013668,0.9498734961160761,0.11317687320128894,0.6394043591488452
UNIFAC-LLE,303.15,0.4,valid,0.4017268516858973,0.9982731483141026,"[0.09254676844847139, 0.7259035292184782, 0.18154970233305043]","[0.6973590470569113, 0.10857254926912674, 0.19406840367396203]",2.7755575615628914e-16,0.2735002137853817,0.9493020155602164,0.10838506057937917,0.6623569497826952
Experiment-interpolation,303.15,0.5,valid,0.46157161294704685,1.0384283870529532,"[0.08422126192325435, 0.7552023492532126, 0.16057638882353303]","[0.6687598281031661, 0.1458165391486685, 0.1854236327481653]",5.551115123125783e-17,0.2779406354643382,0.9469898040313378,0.15142003355379563,0.6559555957080212
ThermoFormer,303.15,0.5,valid,0.528718186354644,0.971281813645356,"[0.08856554746367179, 0.754932022662868, 0.1565024298734603]","[0.7068052835543968, 0.10383568264099102, 0.18935903380461208]",1.1102230246251565e-16,0.3102963033104653,0.9361460695975018,0.10085371015664538,0.6386082407582977
UNIFAC-LLE,303.15,0.5,valid,0.5395123997551401,0.9604876002448598,"[0.08886252926930589, 0.7412419796868486, 0.16989549104384566]","[0.7135864083453133, 0.10420827995528639, 0.18220531169940027]",2.220446049250313e-16,0.3437277153024113,0.9346239503440071,0.10009076073989755,0.6565805799497014
Experiment-interpolation,303.15,0.6,valid,0.5959658580235487,1.0040341419764511,"[0.08238453007875361, 0.7666350678771457, 0.15098040204410063]","[0.6814857558829212, 0.1425366608549172, 0.17597758326216156]",1.1102230246251565e-16,0.337421868183573,0.9330476811505665,0.1431116739816552,0.6469712508673645
ThermoFormer,303.15,0.6,valid,0.6608224055749496,0.9391775944250502,"[0.08414077426133776, 0.7690791758481267, 0.14678004989053559]","[0.7216220111105969, 0.09771873763089989, 0.18065925125850327]",1.1102230246251565e-16,0.3637332962215306,0.9241789424713872,0.09177524893844119,0.6356293349879976
UNIFAC-LLE,303.15,0.6,valid,0.6714466794576052,0.9285533205423948,"[0.08579697916406048, 0.7545368242671032, 0.15966619656883638]","[0.7277182921185625, 0.10055292760444538, 0.1717287802769922]",2.220446049250313e-16,0.4020275156541384,0.9214435044083614,0.0933687548173668,0.6504690411998039
Experiment-interpolation,303.15,0.7,valid,0.7260975681338843,0.9739024318661155,"[0.08075483002750192, 0.7767791192165696, 0.14246605075592855]","[0.6927772490951651, 0.13962648219196777, 0.16759626871286715]",1.1102230246251565e-16,0.3879159487331939,0.9200419740481349,0.13598257055966828,0.6382290503286273
ThermoFormer,303.15,0.7,valid,0.7877089205769039,0.912291079423096,"[0.08086296991001818, 0.7809022601002724, 0.1382347699897093]","[0.734016659479261, 0.09303645024570756, 0.17294689027503143]",1.1102230246251565e-16,0.4083328554554644,0.9131411598966411,0.0848763236203497,0.6309274119074618
UNIFAC-LLE,303.15,0.7,valid,0.799033930943839,0.9009660690561608,"[0.08320494733658228, 0.7661826489372795, 0.1506124037261382]","[0.7401496905289577, 0.09744436468140694, 0.1624059447896355]",1.6653345369377348e-16,0.45129157874323833,0.9093405779850123,0.0877940661986822,0.6441455394203703
Experiment-interpolation,303.15,0.7777777777777778,valid,0.8245460126143197,0.9532317651634581,"[0.07956889699232042, 0.7837909903606491, 0.13664011264703044]","[0.7004855912199861, 0.1379580987109945, 0.1615563100690194]",1.1102230246251565e-16,0.4224977251735512,0.9105342498957216,0.13150604195287588,0.6319815852029204
ThermoFormer,303.15,0.7777777777777778,valid,0.8838492510407542,0.8939285267370235,"[0.07891065564353006, 0.7888180866603529, 0.13227125769611692]","[0.7423280380880821, 0.09014311576984663, 0.1675288461420711]",2.220446049250313e-16,0.4384044451834934,0.9048930128777242,0.08058150267562394,0.6263380021724829
UNIFAC-LLE,303.15,0.7777777777777778,valid,0.895929330636249,0.8818484471415287,"[0.08144948029884039, 0.7742928451814107, 0.14425767451974875]","[0.7488365570173089, 0.09532942712600562, 0.1558340158566856]",2.7755575615628914e-16,0.4846675566435754,0.9004913931388946,0.08406610727795957,0.6391364714853415
Experiment-interpolation,303.15,0.8,valid,0.8520449874436664,0.9479550125563335,"[0.07921486502867267, 0.7855990821749931, 0.13518605279633428]","[0.7023948350239436, 0.137806370726574, 0.15979879424948226]",2.7755575615628914e-16,0.431942244965294,0.9079618699835813,0.1306342398924522,0.6305292634366076
ThermoFormer,303.15,0.8,valid,0.9109946133077463,0.8890053866922535,"[0.07843042941832107, 0.7909050386381489, 0.13066453194353]","[0.7445215119297732, 0.0894142727958614, 0.1660642152743654]",1.1102230246251565e-16,0.4463800678160018,0.9025685926552218,0.0794897701626914,0.6249052157570042
UNIFAC-LLE,303.15,0.8,valid,0.9232964658636027,0.8767035341363971,"[0.08098375359927498, 0.7764758883582129, 0.14254035804251214]","[0.7511790408047965, 0.09476699159471477, 0.15405396760048873]",1.6653345369377348e-16,0.4935262830884406,0.8980381634219372,0.08308255645056069,0.6376956695881782
Experiment-interpolation,303.15,0.9,valid,0.9744780347596076,0.9255219652403923,"[0.07770658847205172, 0.7933020660177358, 0.12899134551021252]","[0.710528755025721, 0.1371599664880222, 0.15231127848625686]",2.220446049250313e-16,0.47137212327671074,0.8967408677880199,0.12694456173630067,0.6240572560405013
ThermoFormer,303.15,0.9,valid,1.031715171245458,0.8682848287545419,"[0.07662447371510017, 0.7994646733681106, 0.1239108529167893]","[0.7535300395047274, 0.086584684105518, 0.1598852763897545]",1.1102230246251565e-16,0.4794026506358102,0.8921982290628621,0.07518016761132582,0.6179003719591258
UNIFAC-LLE,303.15,0.9,valid,1.0449551926268899,0.8550448073731102,"[0.07905861104141686, 0.7856442946908749, 0.13529709426770817]","[0.7610368738486298, 0.09243599168551059, 0.14652713446585972]",5.551115123125783e-16,0.5301727545088943,0.887346309823276,0.07903691470507981,0.6311802807981927
Experiment-interpolation,303.15,1.0,valid,1.0950214938081633,0.9049785061918367,"[0.07632504365386732, 0.800357812767749, 0.12331714357838368]","[0.717979228866644, 0.13656787585165747, 0.14545289528169852]",1.1102230246251565e-16,0.5063809604000905,0.8860305954770487,0.12359099228202519,0.6176908061767745
ThermoFormer,303.15,1.0,valid,1.1505579016946288,0.8494420983053712,"[0.07528790478811431, 0.8068642054922706, 0.11784788971961509]","[0.7613352821428513, 0.08435655934555458, 0.15430815851159413]",1.1102230246251565e-16,0.5084655776810263,0.8818775994236393,0.07165601277630945,0.610181504780041
UNIFAC-LLE,303.15,1.0,valid,1.1645340970106282,0.8354659029893718,"[0.07737369736576993, 0.7938661642599685, 0.12876013837426145]","[0.7699045792743686, 0.09038763040600961, 0.1397077903196216]",2.220446049250313e-16,0.5622958930223783,0.8771304880078812,0.07551578325622642,0.6246433920564556
